lat,lng,csq
23.7330783,90.3943033,31.99
23.7330917,90.394315,31.99
23.7330883,90.39432,31.99
23.7330967,90.3943433,31.99
23.73309,90.3943367,26.99
23.733125,90.3942917,31.99
23.7331767,90.3940317,28.99
23.7331817,90.3935683,21.99
23.7332283,90.3931317,31.99
23.733275,90.3928733,31.99
23.7333383,90.392335,29.99
23.73331,90.3918433,31.99
23.7330417,90.39143,26.99
23.732715,90.3913433,27.99
23.7323967,90.3914833,25.99
23.7320517,90.3918067,25.99
23.731885,90.391965,25.99
23.7315333,90.3920883,21.99
23.7311583,90.3920133,21.99
23.73097,90.39203,25.99
23.7303983,90.39205,31.99
23.72989,90.3921267,31.99
23.7295567,90.3922517,31.99
23.7293733,90.3923233,31.99
23.72911,90.392485,31.99
23.72893,90.39264,31.99
23.7287833,90.3928483,31.99
23.728475,90.3931517,31.99
23.7282933,90.3932833,30.99
23.72813,90.3936567,23.99
23.7279667,90.3939833,23.99
23.7279117,90.3943,28.99
23.72787,90.39456,28.99
23.7278433,90.395145,28.99
23.7277967,90.39562,27.99
23.7278933,90.396105,29.99
23.7282233,90.396565,31.99
23.7283567,90.39675,31.99
23.72824,90.397045,31.99
23.727925,90.3973617,31.99
23.727765,90.3975617,31.99
23.7277717,90.3975617,31.99
23.7277533,90.3975233,31.99
23.7276383,90.3976617,31.99
23.72743,90.39797,29.99
23.72748,90.3982667,31.99
23.7275367,90.3985217,28.99
23.7276567,90.3988267,29.99
23.7277517,90.3993317,31.99
23.7278267,90.3996217,31.99
23.7279783,90.400085,31.99
23.72815,90.4003667,31.99
23.72824,90.4005617,27.99
23.72815,90.4008883,25.99
23.72818,90.401165,29.99
23.728215,90.4016367,27.99
23.7282467,90.402195,30.99
23.7282917,90.4027517,28.99
23.7283317,90.4035233,20.99
23.7283183,90.4040317,22.99
23.7282583,90.4042467,31.99
23.7281467,90.4043917,31.99
23.7279783,90.4048267,31.99
23.72794,90.4054717,31.99
23.727945,90.40614,30.99
23.72792,90.4068817,24.99
23.7278783,90.4076417,28.99
23.727865,90.408465,24.99
23.727835,90.4092733,25.99
23.7278183,90.41001,25.99
23.72781,90.4103467,31.99
23.7278367,90.4103567,31.99
23.727815,90.410435,31.99
23.727795,90.4106,31.99
23.7280817,90.4105817,31.99
23.7286533,90.4104567,31.99
23.72932,90.4104167,31.99
23.7344617,90.410435,31.99
23.7349133,90.41042,20.99
23.735555,90.4104217,20.99
23.735955,90.410425,31.99
23.7360067,90.4104633,31.99
23.7360017,90.4104833,31.99
23.7360083,90.410475,31.99
23.7360033,90.4104283,31.99
23.7360017,90.4104367,31.99
23.7360167,90.4104283,31.99
23.7360183,90.4104267,31.99
23.7359967,90.410435,31.99
23.7359983,90.4104383,31.99
23.73598,90.4104267,31.99
23.73597,90.41042,31.99
23.735945,90.4104317,31.99
23.7359367,90.4104617,31.99
23.73596,90.4104567,31.99
23.7359583,90.410535,31.99
23.7359367,90.4105267,31.99
23.7359033,90.4105333,31.99
23.7359183,90.41051,31.99
23.73593,90.4104783,31.99
23.7359683,90.410495,31.99
23.7363033,90.41053,31.99
23.73676,90.4104933,31.99
23.737065,90.4105317,31.99
23.7371867,90.410705,31.99
23.7371417,90.4111083,31.99
23.73695,90.4118067,31.99
23.7367683,90.412485,25.99
23.7365883,90.4132583,31.99
23.736285,90.4141667,31.99
23.73617,90.414795,31.99
23.7360833,90.4153983,31.99
23.7358767,90.4158533,31.99
23.735615,90.41645,31.99
23.7352617,90.4170617,31.99
23.7351017,90.4174467,31.99
23.735275,90.4175583,31.99
23.7355967,90.417695,31.99
23.736025,90.417885,31.99
23.7364817,90.418135,31.99
23.736815,90.418385,31.99
23.737065,90.41854,26.99
23.7371867,90.41856,31.99
23.737255,90.4185967,31.99
23.737255,90.420965,29.99
23.7372583,90.42096,29.99
23.7372567,90.4209533,29.99
23.737255,90.4209433,29.99
23.7372517,90.4209333,29.99
23.73724,90.420915,29.99
23.737255,90.420915,29.99
23.7373267,90.4208933,30.99
23.7373667,90.42085,29.99
23.7374183,90.420915,29.99
23.7374117,90.42104,31.99
23.7373233,90.4211483,31.99
23.7372033,90.421255,31.99
23.73709,90.4211933,31.99
23.7370183,90.421085,31.99
23.7368733,90.4210367,31.99
23.7367817,90.420975,31.99
23.7366983,90.4209083,31.99
23.7365817,90.4208333,31.99
23.7364967,90.4208183,31.99
